"Run Fondo";"fecha";"Nombre FFMM";"Nemotécnico instrumento";"Rut emisor";"Digito Verificador";"Nombre emisor";"Codigo país emisor";"Tipo instrumento";"Fecha vencimiento";"Situacion instrumento";"Clasificación riesgo";"Código grupo empresarial";"N° grupo empresarial";"Cantidad unidades";"Tipo unidades";"TIR ";"Valor par";"Valor relevante";"Codigo valorización";"Base tasa";"Tipo interés";"valorización cierre";"Código moneda liquidación";"Código país transacción";"% capital emisor";"% activo emisor";"% activo fondo"
"8159";"2023-01-31";ASIA EMERGENTE ;BNPDBC090223;"97029000";"1 ";-;CL;PDBC;"2023-02-09";"1";NA;"0";-;"1765000000";$$;"0.92";-;-;"1";"30";NL;"1760129";$$;CL;"0.0%";"0.0%";"6.8%"
"8178";"2023-01-31";BICE ACCIONES ASIA;BNPDBC010223;"97029000";"1 ";-;CL;PDBC;"2023-02-01";"1";NA;"0";-;"50000000";$$;"0.91";-;-;"1";"30";NL;"49985";$$;CL;"0.0%";"0.0%";"0.8%"
"8159";"2023-02-28";ASIA EMERGENTE ;BNPDBC010323;"97029000";"1 ";-;CL;PDBC;"2023-03-01";"1";NA;"0";-;"80000000";$$;"0.93";-;-;"1";"30";NL;"79975";$$;CL;"0.0%";"0.0%";"0.3%"
"8159";"2023-02-28";ASIA EMERGENTE ;BNPDBC020323;"97029000";"1 ";-;CL;PDBC;"2023-03-02";"1";NA;"0";-;"1505000000";$$;"0.94";-;-;"1";"30";NL;"1504060";$$;CL;"0.0%";"0.0%";"6.2%"
"8159";"2023-03-31";ASIA EMERGENTE ;BNPDBC110423;"97029000";"1 ";-;CL;PDBC;"2023-04-11";"1";NA;"0";-;"60000000";$$;"0.91";-;-;"1";"30";NL;"59800";$$;CL;"0.0%";"0.0%";"0.3%"
"8159";"2023-03-31";ASIA EMERGENTE ;BNPDBC030423;"97029000";"1 ";-;CL;PDBC;"2023-04-03";"1";NA;"0";-;"120000000";$$;"0.89";-;-;"1";"30";NL;"119893";$$;CL;"0.0%";"0.0%";"0.5%"
"8159";"2023-03-31";ASIA EMERGENTE ;BNPDBC110423;"97029000";"1 ";-;CL;PDBC;"2023-04-11";"1";NA;"0";-;"1220000000";$$;"0.91";-;-;"1";"30";NL;"1215924";$$;CL;"0.0%";"0.0%";"5.3%"
"8159";"2023-03-31";ASIA EMERGENTE ;BNPDBC140423;"97029000";"1 ";-;CL;PDBC;"2023-04-14";"1";NA;"0";-;"30000000";$$;"0.93";-;-;"1";"30";NL;"29871";$$;CL;"0.0%";"0.0%";"0.1%"
"8178";"2023-03-31";BICE ACCIONES ASIA;BNPDBC030423;"97029000";"1 ";-;CL;PDBC;"2023-04-03";"1";NA;"0";-;"100000000";$$;"0.89";-;-;"1";"30";NL;"99911";$$;CL;"0.0%";"0.0%";"1.7%"
"8159";"2023-04-30";ASIA EMERGENTE ;BNPDBC160523;"97029000";"1 ";-;CL;PDBC;"2023-05-16";"1";NA;"0";-;"30000000";$$;"0.93";-;-;"1";"30";NL;"29852";$$;CL;"0.0%";"0.0%";"0.1%"
"8159";"2023-04-30";ASIA EMERGENTE ;BNPDBC120523;"97029000";"1 ";-;CL;PDBC;"2023-05-12";"1";NA;"0";-;"1300000000";$$;"0.93";-;-;"1";"30";NL;"1295177";$$;CL;"0.0%";"0.0%";"5.9%"
"8159";"2023-04-30";ASIA EMERGENTE ;BNPDBC040523;"97029000";"1 ";-;CL;PDBC;"2023-05-04";"1";NA;"0";-;"125000000";$$;"0.93";-;-;"1";"30";NL;"124844";$$;CL;"0.0%";"0.0%";"0.6%"
"8159";"2023-04-30";ASIA EMERGENTE ;BNPDBC030523;"97029000";"1 ";-;CL;PDBC;"2023-05-03";"1";NA;"0";-;"120000000";$$;"0.93";-;-;"1";"30";NL;"119889";$$;CL;"0.0%";"0.0%";"0.5%"
"8159";"2023-05-31";ASIA EMERGENTE ;BNPDBC010623;"97029000";"1 ";-;CL;PDBC;"2023-06-01";"1";NA;"0";-;"140000000";$$;"0.88";-;-;"1";"30";NL;"139959";$$;CL;"0.0%";"0.0%";"0.7%"
"8159";"2023-05-31";ASIA EMERGENTE ;BNPDBC120623;"97029000";"1 ";-;CL;PDBC;"2023-06-12";"1";NA;"0";-;"30000000";$$;"0.92";-;-;"1";"30";NL;"29891";$$;CL;"0.0%";"0.0%";"0.1%"
"8159";"2023-05-31";ASIA EMERGENTE ;BNPDBC050623;"97029000";"1 ";-;CL;PDBC;"2023-06-05";"1";NA;"0";-;"20000000";$$;"0.92";-;-;"1";"30";NL;"19969";$$;CL;"0.0%";"0.0%";"0.1%"
"8159";"2023-05-31";ASIA EMERGENTE ;CFMSTDMMAM;"8057";"8 ";-;CL;CFM;-;"1";NA;"0";-;"719231.19";$$;-;-;"1184.18";"3";"0";NA;"851699";$$;CL;"0.1%";"0.0%";"4.1%"
"8159";"2023-06-30";ASIA EMERGENTE ;CFMSTDMMAM;"8057";"8 ";-;CL;CFM;-;"1";NA;"0";-;"1035682.78";$$;-;-;"1195.22";"3";"0";NA;"1237869";$$;CL;"0.1%";"0.1%";"5.9%"
"8159";"2023-07-31";ASIA EMERGENTE ;CFMSTDMMAM;"8057";"8 ";-;CL;CFM;-;"1";NA;"0";-;"1047695.32";$$;-;-;"1206.67";"3";"0";NA;"1264223";$$;CL;"0.1%";"0.1%";"5.8%"
"8159";"2023-07-31";ASIA EMERGENTE ;BNPDBC010823;"97029000";"1 ";-;CL;PDBC;"2023-08-01";"1";NA;"0";-;"100000000";$$;"0.82";-;-;"1";"30";NL;"99973";$$;CL;"0.0%";"0.0%";"0.5%"