"Run Fondo";"Serie";"característica";"Fecha inicio";"Fecha término";"Valor inicial cuota";"Continuadora de serie"
"8159";UNICA;-;"2000-07-17";"2006-03-11";"1500";-
"8159";ALTO;-;"2015-11-27";-;"1000";-
"8159";AM;-;"2019-02-01";-;"1000";-
"8159";APV;APV;"2006-03-12";-;"1225";UNICA
"8159";EJECU;-;"2006-03-12";-;"1225";UNICA
"8159";G;-;"2016-11-28";-;"1000";-
"8159";III;-;"2017-03-01";-;"1000";-
"8159";INVER;-;"2006-03-12";-;"1000";-
"8159";UNIVE;-;"2006-03-12";-;"1000";-
"8178";UNICA;-;"2000-12-14";"2002-07-31";"1000";-
"8178";A;-;"2002-08-01";"2017-11-09";"853";UNICA
"8178";B;APV;"2002-08-01";"2017-11-09";"781";-
"8178";C;-;"2007-12-11";"2017-11-09";"1000";-
"8178";F;-;"2006-01-12";"2017-11-09";"1000";-
"8178";I;-;"2007-12-11";"2017-11-09";"1000";-
"8178";J;-;-;"2017-11-09";"1000";-
"8178";APV;APV;"2017-11-10";-;"1000";B
"8178";CLASICA;-;"2017-11-10";-;"1000";A
"8178";D;APV;"2010-01-08";-;"1000";-
"8178";E;APVC;-;-;"1000";-
"8178";G;APV;"2012-09-20";-;"1000";-
"8178";INSTITUCIO;-;"2017-11-10";-;"1000";I
"8178";K;-;"2019-12-18";-;"1000";-
"8178";LARGOPLAZO;-;"2017-11-10";-;"1000";F
"8178";LIQUIDEZ;-;"2017-11-10";-;"1000";C
"8178";PATRIMONIA;-;"2019-04-18";-;"1000";J
"8514";UNICA;-;"2007-09-03";"2012-01-08";"100";-
"8514";ALPAT;-;"2012-01-09";-;"1000";-
"8514";APV;APV;"2012-01-09";-;"1000";-
"8514";BCI;-;"2022-12-16";-;"1000";-
"8514";BPRIV;-;"2012-01-09";-;"1000";-
"8514";CLASI;-;"2012-01-09";-;"39979";UNICA
"8514";FAMIL;-;"2012-01-09";-;"1000";-
"9023";EX;-;-;"2016-03-26";"1";-
"9023";G-APV;APV-APVC;"2013-09-27";"2016-03-26";"1";G-APV
"9023";O;-;"2020-08-10";"2021-05-07";"1";-
"9023";RV;-;"2021-03-23";"2021-07-02";"1";-
"9023";A;-;"2013-09-27";-;"1";A
"9023";APV;APV;"2013-09-27";-;"1";APV
"9023";APV-AP-APVC;APV-APVC;"2022-09-29";-;"1";-
"9023";F;-;"2013-09-27";-;"1";O
"9023";I;-;"2013-09-27";-;"1";I
"9023";LV;-;"2015-06-08";-;"1";-
"9023";P;-;"2013-09-27";-;"1";P